year,ex_rate
1981,1.72596363636364
1982,1.90705833333333
1983,1.985875
1984,2.36450833333333
1985,2.95719166666667
1986,3.468625
1987,3.7314
1988,3.7314
1989,3.81494166666667
1990,4.81745
1991,5.343125
1992,5.51828333333333
1993,5.76461666666667
1994,8.61016666666667
1995,8.34936666666667
1996,8.313725
1997,8.28898333333333
1998,8.27886666666667
1999,8.27844166666667
2000,8.27838333333333
2001,8.27720833333333
2002,8.277075
2003,8.27725833333333
2004,8.27674166666667
2005,8.18233333333333
2006,7.95854166666667
2007,7.58393333333333
2008,6.92546666666667
2009,6.82969166666667
2010,6.75959166666667
2011,6.44883333333333
2012,6.30186666666667
2013,6.14126666666667
2014,6.17046666666667
2015,6.28894166666667
2016,6.65488333333333
2017,6.73498333333333
2018,6.629225
2019,6.90136666666667
2020,6.88933333333333
2021,6.43631666666667
2022,6.75151666666667
2023,7.08989166666667
2024,7.21681666666667
