year,CAOFGDP
1998-03-31,0.0480299220038672
1998-06-30,0.0177815003707024
1998-09-30,0.019972554656083
1998-12-31,0.0375975520263793
1999-03-31,0.00493139122255559
1999-06-30,0.00193326916045752
1999-09-30,0.0361134485949295
1999-12-31,0.0292744896280564
2000-03-31,0.0141746341753185
2000-06-30,0.0091440288322169
2000-09-30,0.0214009429439139
2000-12-31,0.0212003622132125
2001-03-31,0.0206016697174054
2001-06-30,-0.00277431027255311
2001-09-30,0.0146199895499749
2001-12-31,0.0190554150104365
2002-03-31,0.0271258720104918
2002-06-30,0.0139989716207492
2002-09-30,0.0177335378013006
2002-12-31,0.0359067405076015
2003-03-31,0.00723922249389042
2003-06-30,0.0209318042059385
2003-09-30,0.0200531766772386
2003-12-31,0.049254008038134
2004-03-31,0.00801882467044379
2004-06-30,0.0124303001890295
2004-09-30,0.0341439979694208
2004-12-31,0.0752848821241577
2005-03-31,0.048767399570343
2005-06-30,0.0543638959260486
2005-09-30,0.0564594396933841
2005-12-31,0.0682145308552531
2006-03-31,0.0579915132543594
2006-06-30,0.0720882460429275
2006-09-30,0.085775433389192
2006-12-31,0.110838633018416
2007-03-31,0.0903085535242578
2007-06-30,0.102280256221098
2007-09-30,0.106882742940752
2007-12-31,0.0953893543228815
2008-03-31,0.0841571686877613
2008-06-30,0.0840383144478079
2008-09-30,0.0911067437759622
2008-12-31,0.102470355455096
2009-03-31,0.0622176188688142
2009-06-30,0.0323049218906638
2009-09-30,0.034472720317791
2009-12-31,0.0615403365754063
2010-03-31,0.0194998393601218
2010-06-30,0.0300060761458388
2010-09-30,0.0526975812777794
2010-12-31,0.0481164476557024
2011-03-31,0.000945405226012032
2011-06-30,0.0238260199257355
2011-09-30,0.0214554053212068
2011-12-31,0.0222586816448341
2012-03-31,0.0153368009888184
2012-06-30,0.0285054003032032
2012-09-30,0.0349367930545871
2012-12-31,0.0211898106466873
2013-03-31,0.0196803349977352
2013-06-30,0.0182720011695762
2013-09-30,0.0131070144042267
2013-12-31,0.0115846669670641
2014-03-31,0.00238919144299165
2014-06-30,0.0300825603959606
2014-09-30,0.0291826081721971
2014-12-31,0.0260593273814341
2015-03-31,0.031033131646372
2015-06-30,0.0248660076654872
2015-09-30,0.0238702493203271
2015-12-31,0.0277569764601504
2016-03-31,0.0182846444638109
2016-06-30,0.0213921027353196
2016-09-30,0.0251117268681762
2016-12-31,0.00477740583665586
2017-03-31,0.00790761111228064
2017-06-30,0.0181861232507073
2017-09-30,0.0134959883082976
2017-12-31,0.0197981224911016
2018-03-31,-0.0123922837315614
2018-06-30,-0.000761282505519018
2018-09-30,0.00512217230250023
2018-12-31,0.0131224345271985
2019-03-31,0.00687865057798723
2019-06-30,0.00560665836955521
2019-09-30,0.00861717175202661
2019-12-31,0.00763962616551683
2020-03-31,-0.017827314656987
2020-06-30,0.0259931031630296
2020-09-30,0.023209334540508
2020-12-31,0.0269362582219198
2021-03-31,0.019833904522136
2021-06-30,0.0126192818341249
2021-09-30,0.0204566267205052
2021-12-31,0.0252009328081525
2022-03-31,0.022545651576988
2022-06-30,0.0191207069308967
2022-09-30,0.0340165252423564
2022-12-31,0.023736371513253
2023-03-31,0.018484820155158
2023-06-30,0.0136350457514248
2023-09-30,0.0137407752022169
2023-12-31,0.011602366628413
